std_smiles,source,MolWeight,nbAtoms,nbHeavyAtoms,nbRing,nbRotBd,nbHBdAcc,ndHBdDon,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,ionization,pKa_b_pred,LogD55_pred,LogD74_pred,LogOH_pred,nbNring,pKa_b_pred_divN,pKa_b_pred_multN,frac_OS_N,pKa_b_pred_div_O_S,frac_N,frac_OS_atoms,frac_ring_N,frac_Nring_atoms,frac_ring_atoms,C-C,C-C-C,C-N,C-N-C,C-C-N-C,C-C-C-N-C,C-N-C-C-O,C-C-N,C-C-N-C-C,C-C-C-N,N-C-C-O,C-C-C-O,C-C-C-C,C-C-O,C-O,C,N,O,C-C-C-C-O,C-C-O-C,C-O-C,C-C-C-C-N,N-C-C-C-O,C-C-C-O-C,O-C-O,C-N-C-C-N,N-C-C-N,C-N-C-C-S,N-C-C-S,C-C-S,C-C-S-C,C-S,C-S-C,S,C-C-O-C-C,C-O-C-O,C-O-C-C-N,C-C-N-C-O,C-N-C-O,N-C-O,N-C-C-C-N,C-O-C-C-O,O-C-C-O,O-C-C-C-O,N-C-N,C-N-C-N,C-C-N-C-N,C-N-C-N-C,C-S-C-N,C-N-C-S-C,N-C-S,C-N-C-S,C-C-N-C-S,N-C-S-C-N,C-C-O-C-O,C-O-C-O-C,C-C-C-C-C,C-C-C-S,O-C-C-C-S,O-C-N-C-S,S-C-N-C-S,O-C-N-C-O,C-C-C-S-C,C-C-S-C-C,C-N-C-O-C,C-O-C-N,C-C-O-C-N,C-C-O-N,C-C-O-N-C,C-O-N,C-N-O-C,C-C-N-O-C,N-O,C-N-O,C-C-N-O,N-C-C-N-O,C-S-C-C-N,C-C-S-C-N,N-C-C-C-S,N-C-O-C-O,C-S-C-C-O,O-C-C-S,N-C-N-C-O,C-C-C-C-S,S-C-C-S,O-C-O-C-O,C-S-C-S,S-C-S,C-S-C-C-S
CN1CC2CCC(O)CC2C1,screening,155.131014164,28,11,2,0,2,1,23.47,41.4024,0.88,1.27111722322281,99.0524100308036,246.044375791841,-2.15602801566895,0.451997954075967,-6.34343470448741,6.12693815831268,7.78265976670529,1,9.59958458878363,-2.82850189443815,-0.931201575767477,-10.4459106343545,1,9.59958458878363,9.59958458878363,1.0,9.59958458878363,0.0357142857142857,0.0357142857142857,1.0,1.0,0.0714285714285714,8,10,3,3,2,2,0,2,0,2,0,2,10,2,1,9,1,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CC2CCC1(CO)CC2,screening,155.131014164,28,11,0,1,2,1,23.47,43.4967,0.812,1.70133583738672,111.400489941737,236.246202372271,-1.97288440984191,0.0029246858220515,-6.16877040425336,6.22223810671373,7.51701327818027,1,10.2010742182141,-2.99974702464852,-1.10042444859182,-10.4460202837265,1,10.2010742182141,10.2010742182141,1.0,10.2010742182141,0.0357142857142857,0.0357142857142857,1.0,1.0,0.0,8,10,3,3,8,4,2,4,1,4,1,2,10,1,1,9,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CC2CCC1C(CO)C2,screening,155.131014164,28,11,0,1,2,1,23.47,41.816,0.88,1.33055855255933,116.342601186155,246.077036283947,-2.14949441727213,0.019410551179017,-6.34059812926849,6.79371070125365,7.78265976670529,1,10.0476990791968,-3.21715283156551,-1.31811685740413,-10.44708912819,1,10.0476990791968,10.0476990791968,1.0,10.0476990791968,0.0357142857142857,0.0357142857142857,1.0,1.0,0.0,8,10,3,3,6,6,0,3,0,5,0,2,10,1,1,9,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CC2CCCC(C1)C2O,screening,155.131014164,28,11,2,0,2,1,23.47,41.4024,0.88,1.3251814904219,89.5953467255264,246.058317321693,-1.78121596925896,-0.225208515224194,-6.19782368486538,7.06635136249886,7.78265976670529,1,10.2454768032985,-3.42030311663125,-1.5209147507457,-10.4462757728281,1,10.2454768032985,10.2454768032985,1.0,10.2454768032985,0.0357142857142857,0.0357142857142857,1.0,1.0,0.0714285714285714,8,10,3,3,4,6,0,2,0,4,0,4,10,2,1,9,1,1,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(C)(CO)CC1,screening,143.131014164,27,10,1,1,2,1,23.47,42.3221,0.768,1.10750346126474,49.6366296255407,198.412809597443,-1.68047679121049,0.426385756530796,-6.17058728681706,5.11549720511825,6.12922264630359,1,9.59750666050762,-2.99003789371655,-1.09275048152651,-10.4474597153182,1,9.59750666050762,9.59750666050762,1.0,9.59750666050762,0.037037037037037,0.037037037037037,1.0,1.0,0.037037037037037,6,8,3,3,4,2,0,2,0,2,0,3,6,1,1,8,1,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(C)(O)CC1,screening,129.1153641,24,9,1,0,2,1,23.47,34.4424,0.768,1.09231003369045,25.9302542555543,184.229909414019,-1.27397180554554,0.503657917482435,-6.26458503817398,3.55913247863842,5.66122079997261,1,9.38573165942616,-2.79347812260768,-0.897886592759039,-10.4525111914914,1,9.38573165942616,9.38573165942616,1.0,9.38573165942616,0.0416666666666666,0.0416666666666666,1.0,1.0,0.0416666666666666,5,5,3,3,4,2,0,2,0,2,0,2,4,3,1,7,1,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(C2CO2)C1,screening,127.099714036,22,9,2,1,2,0,15.77,33.4627,0.782,0.453173240350661,-14.6557055657673,198.761439485622,0.120193423180798,0.513524940423317,-4.98344566172697,3.20840844445543,3.92163465553428,1,8.66723253948777,-2.71435469476673,-0.836919063786576,-10.5379582670487,1,8.66723253948777,8.66723253948777,1.0,8.66723253948777,0.0454545454545454,0.0454545454545454,1.0,1.0,0.0909090909090909,5,5,3,3,2,1,0,2,0,1,0,2,3,1,2,7,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(C2OCCO2)C1,screening,157.11027872,26,11,2,1,3,0,21.7,39.5736,0.967,0.403414574015606,-2.34320202101195,229.601580595902,-1.00583474647508,0.540021358914916,-4.62132806889704,4.32014383764608,4.75162307728779,1,9.52112914931139,-3.61775594043395,-1.72098811313209,-10.4083627943141,1,9.52112914931139,9.52112914931139,2.0,19.04225829862278,0.0384615384615384,0.0769230769230769,1.0,1.0,0.0769230769230769,5,4,3,3,2,1,0,2,0,1,0,4,1,4,4,8,1,2,2,2,2,0,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(N(CCO)C2CC2)C1,screening,184.15756326,33,13,2,4,3,1,26.71,48.4367,1.1,0.207090020299578,48.4843370384943,270.43879519799,-2.89055074246713,0.497094080588503,-8.86986993369883,5.55160343799073,8.3734321263839,1,10.7246281766279,-5.01754074546418,-3.11774377063207,-10.562499741484,1,5.36231408831395,21.4492563532558,0.5,5.36231408831395,0.0606060606060606,0.0303030303030303,0.5,0.5,0.0606060606060606,7,2,6,6,12,2,2,7,8,1,1,0,0,1,1,10,2,1,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(OCCO)C1,screening,145.11027872,25,10,1,3,3,1,32.7,37.9367,0.926,0.275585118756358,27.3585925031387,206.543755155693,-1.32758086700422,0.900527531230595,-8.48957589257407,1.80576653160671,6.09899468916232,1,8.89283791724315,-3.11742853359111,-1.23099502686444,-10.3706346338489,1,8.89283791724315,8.89283791724315,2.0,17.7856758344863,0.04,0.08,1.0,1.0,0.04,4,2,3,3,2,0,1,2,0,0,1,1,0,4,3,7,1,2,0,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(C(CCO)CCO)CC1,screening,201.172878976,37,14,1,5,3,2,43.7,49.8247,1.091,1.57037664227709,59.1832754637963,273.665894167831,-3.76428045263461,0.490646646594261,-9.08002733845968,7.52912555810896,8.07101672037609,1,10.2219825082226,-3.15161410348832,-1.2522597109945,-10.6352059665251,1,10.2219825082226,10.2219825082226,2.0,20.4439650164452,0.027027027027027,0.054054054054054,1.0,1.0,0.027027027027027,9,10,3,3,4,2,0,2,0,2,0,2,12,2,2,11,1,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(C2OCCO2)CC1,screening,171.125928784,29,12,2,1,3,0,21.7,42.4852,0.967,0.836468024168813,-19.3877247345076,227.844114634907,-1.83626574992926,0.0253094467426149,-4.6524013144772,5.83742769924497,5.19803022277268,1,9.94585621985271,-3.6094037524855,-1.71062218372636,-10.4331271319202,1,9.94585621985271,9.94585621985271,2.0,19.89171243970542,0.0344827586206896,0.0689655172413793,1.0,1.0,0.0689655172413793,6,5,3,3,4,2,0,2,0,2,0,4,4,4,4,9,1,2,4,2,2,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CN1CCC(N(CCO)C2CC2)CC1,screening,198.173213324,36,14,2,4,3,1,26.71,51.3483,1.1,1.70394674651083,44.0240593182139,277.317014201607,-5.38404736211479,-0.297295258370401,-6.56178889025216,7.74813023408907,8.59436990327473,1,9.93723907429447,-2.73330819633576,-0.834551008980464,-10.5969840853987,1,4.968619537147235,19.87447814858894,0.5,4.968619537147235,0.0555555555555555,0.0277777777777777,0.5,0.5,0.0555555555555555,8,3,6,6,14,6,2,7,8,4,1,0,2,1,1,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
