cid,avg_pred,avg_pred,avg_pred,avg_pred,avg_pred,CompRate_ylog,avg_pred_fin,abs_err,outlier
496-47-9,-0.6049251556396484,-0.6468437854715772,-0.6193289160728455,-0.5749573707580566,-0.6268082638879722,-0.6495454599112463,-0.61457269836602,0.03497276154522633,
4134-00-3,-0.2737274055330625,-0.2657030619521113,-0.26500649750232697,-0.27847427856754414,-0.24931687825778515,-0.3457065523654821,-0.26644562436256597,0.07926092800291612,
34753-59-8,-0.5058323856919937,-0.46861591935157776,-0.5302420925627256,-0.5083511471748352,-0.5253753662109375,-0.4125939711710698,-0.507683382198414,0.09508941102734425,
62237-08-5,-0.4696406084862174,-0.4663060439681683,-0.49305308637912604,-0.4387216567993164,-0.4293314372916849,-0.5961772072426269,-0.45941056658490265,0.13676664065772426,
857832-28-1,-0.07805208082479599,-0.11162663553750314,-0.07797914054132996,-0.11042240372625883,-0.08469789272709083,-0.1981055370678745,-0.09255563067139574,0.10554990639647877,
102450-14-6,-0.6502613583514277,-0.6554357460574389,-0.6322300531747373,-0.6157897458966923,-0.6569078391403924,-0.7755574264875557,-0.6421249485241377,0.13343247796341795,
2109-64-0,-0.5691101551055908,-0.5409846672058373,-0.578752211749395,-0.5885867314673083,-0.5522582336817716,-0.5551048205328274,-0.5659383998419806,0.010833579309153185,
1194736-09-8,-0.41079598136317674,-0.3711630818155243,-0.4912517232488837,-0.38600892798954445,-0.3947395086288452,-0.230568990225407,-0.4107918446091949,0.18022285438378788,
106694-61-5,-0.6204915199981684,-0.6121940599987779,-0.6480423510074615,-0.670714660624042,-0.6490571823129634,-0.783025954946433,-0.6400999547882826,0.14292600015815038,
6006-58-2,-0.3061580240527179,-0.2679810219312655,-0.3372986232836475,-0.31464800238609314,-0.24160808286381624,-0.1328961832028866,-0.29353875090350806,0.16064256770062146,
14037-83-3,-0.3530358672142029,-0.32769365803570627,-0.3696459418256069,-0.33316126465797424,-0.34352394938468933,-0.0861309085966641,-0.3454121362236359,0.2592812276269718,
122-96-3,-0.3220803737640381,-0.31104386790909344,-0.26310065388679504,-0.30189240314056315,-0.19410590827465057,-0.4110288773357323,-0.27844464139502806,0.13258423594070423,
15433-27-9,-0.6724317615836726,-0.5600104902692788,-0.63987846937706,-0.6247032744445673,-0.5923612020222566,-0.6266577137174316,-0.6178770395393671,0.008780674178064496,
3574-43-4,-0.3902232348918915,-0.4056175675848418,-0.3410818794265167,-0.4314940869808197,-0.39954746454943085,-0.5151258345857914,-0.39359284668670014,0.12153298789909128,
91014-23-2,-0.5953855514526367,-0.5491681339873649,-0.568607976492496,-0.5878060036859587,-0.5481993502742468,-0.3938227431521922,-0.5698334031785406,0.1760106600263484,
100-74-3,-0.07250794316133988,-0.042130326635968315,-0.0008748838677634137,-0.09591762149781388,-0.0328340040385955,-0.1080169646689273,-0.0488529558402962,0.0591640088286311,
91425-90-0,-0.6565873758963294,-0.6318789086507668,-0.6678093472248029,-0.6819236278533936,-0.667197667967167,-0.5316241349003016,-0.661079385518492,0.1294552506181904,
873376-29-5,-0.6222112704072201,-0.6165483593940735,-0.6310259674830618,-0.6339320048521817,-0.6183229170754068,-0.7947100816655801,-0.6244081038423888,0.17030197782319134,
13297-91-1,-0.06109552592667809,-0.11454911851420516,-0.07600218939424302,-0.0649688379035462,-0.041329536880527616,0.1604799990674887,-0.07158904172384001,0.2320690407913287,
4500-30-5,-0.2966984808444977,-0.3053015172481537,-0.32978758031087196,-0.3634221851825714,-0.3409415715714872,-0.3277651220735201,-0.32723026703151636,0.0005348550420037346,
140-82-9,-0.4889046251773834,-0.3900696933269501,-0.43085670471191406,-0.46615114754332854,-0.41631732289430284,-0.505362758439427,-0.4384598987307758,0.06690285970865123,
1087704-96-8,-0.6069149745897016,-0.5240546854508639,-0.5605933032580875,-0.5397658041025766,-0.5886829767064843,-0.6183847292052153,-0.5640023488215429,0.05438238038367238,
30727-29-8,-0.6114040647958779,-0.5532084913973635,-0.6379924766463209,-0.5884159759594876,-0.5800135135650635,-0.7598968300874117,-0.5942069044728227,0.16568992561458906,
58883-81-1,-0.1716232902304921,-0.1567261815071106,-0.17868149042187145,-0.14450472593307495,-0.25073436959028805,-0.1198585011377474,-0.18045401153656743,0.060595510398820024,
14400-71-6,-0.20692126844751446,-0.09898939317039218,-0.11703358761517745,-0.22532585646672382,-0.10899618353374989,-0.1335236706053705,-0.15145325784671154,0.017929587241341055,
854464-00-9,-0.15790660679340363,-0.23269747508043667,-0.18883199386477606,-0.18540454655885696,-0.18198330294442647,-0.2019115142008607,-0.18936478504837995,0.012546729152480757,
872816-90-5,-0.4318415915536502,-0.4122137129306793,-0.49905386567115784,-0.3925130292536989,-0.4702855754240848,-0.1940897629611417,-0.44118155496665423,0.24709179200551254,
4402-30-6,-0.22307173907756805,-0.26675693083617047,-0.23609806597232819,-0.26060572791596004,-0.2327906316610948,-0.064654703880272,-0.2438646190926243,0.1792099152123523,
2842-41-3,-0.6388181850964778,-0.6851561144251901,-0.6654457879920164,-0.6670100578718163,-0.6784337162971497,-0.5458193559528078,-0.66697277233653,0.12115341638372212,
3492-47-5,-0.42831747732155484,-0.3587777399451625,-0.41100608529118643,-0.33764404288043015,-0.4261186421598522,-0.2746259846286721,-0.3923727975196373,0.11774681289096517,
854665-75-1,0.017462707762174942,0.04703567863916336,0.07709312772127438,0.02767379524202656,0.06546485242813582,0.1639831188100563,0.04694603235855501,0.1170370864515013,
59941-28-5,-0.09179683310339644,-0.03700780835550413,-0.015270703509528256,-0.0637463703751564,-0.06483189016580582,-0.1347354765263025,-0.05453072110187821,0.08020475542442429,
1039627-29-6,-0.5923455242413909,-0.5636257539109105,-0.5641898476989324,-0.5316056269674074,-0.5777925252914429,-0.5322832897829946,-0.5659118556220168,0.033628565839022295,
144205-48-1,-0.4346897824823221,-0.47919118090374735,-0.4936680586125342,-0.5011036405270661,-0.5158601403236389,-0.4524439305835262,-0.48490256056986175,0.03245862998633553,
4667-57-6,-0.20268051326274872,-0.13133958425422187,-0.21998347772360352,-0.16813119262276222,-0.16346003115630384,0.0065764776582287,-0.17711895980392803,0.18369543746215672,
110513-60-5,-0.6429393291473389,-0.5882850561022878,-0.6160267872716043,-0.6520322688058574,-0.6483592584577902,-0.7459239817809641,-0.6295285399569757,0.11639544182398842,
15520-05-5,-0.1486765444278717,-0.13457175801837828,-0.14853446372986429,-0.10550549353592843,-0.08680666203149552,0.1463605016447033,-0.12481898434870767,0.27117948599341096,
42434-24-2,-0.23528168688019155,-0.211392227121452,-0.2653455676401494,-0.2685822481191552,-0.2857731166038204,-0.0549494011136457,-0.25327496927295373,0.19832556815930802,
106694-59-1,-0.3872006833553314,-0.3716350085276226,-0.3824697753245627,-0.4044359491769989,-0.3928794695498944,-0.2813206429425565,-0.387724177186882,0.10640353424432553,
2421-02-5,-0.23387986341342182,-0.2503584411725863,-0.2540474832057953,-0.23398905281053667,-0.2519508930244829,-0.253218905292113,-0.2448451467253646,0.008373758566748407,
4767-14-0,-0.1860931944288657,-0.14593334929678423,-0.1243915926576726,-0.10689698226812326,-0.13786561582647097,-0.2336666289178491,-0.14023614689558334,0.09343048202226575,
4402-34-0,-0.49378454230507257,-0.47544968128204346,-0.4610508680343628,-0.4390954375267029,-0.48314996502878294,-0.3088091028777018,-0.47050609883539296,0.16169699595769116,
10315-98-7,-0.025954570711778296,-0.07455168123300188,-0.07325407823600077,-0.07850668154050344,-0.07777231423956855,0.0695413559186915,-0.06600786519217058,0.1355492211108621,
934-90-7,-0.6782909353888109,-0.6647112987279179,-0.6661646610640111,-0.6375793661618631,-0.6767597495773039,-0.6484087023749894,-0.6647012021839813,0.016292499808991945,
94473-23-1,-0.505477001018962,-0.4514217569407608,-0.5143487078019215,-0.5257261628502191,-0.4930008053779602,-0.2703153623640476,-0.4979948867979648,0.2276795244339172,
854815-53-5,-0.5856108789786123,-0.6045970320701599,-0.5927797146070926,-0.5486695016298747,-0.5250489213653942,-0.4285830940604988,-0.5713412097302267,0.1427581156697279,
104-58-5,-0.730104881026933,-0.6660925695102395,-0.7061627024650465,-0.6862369179725647,-0.720499077791041,-0.5793012932010673,-0.7018192297531649,0.12251793655209764,
622-40-2,0.0015446041943505406,-0.08212879928825945,-0.03008272976038135,0.012107582478578781,0.0009682647153724253,0.1907440962500579,-0.01951821553206781,0.2102623117821257,
70787-41-6,-0.27750335263472176,-0.24240560194515812,-0.30968411835432247,-0.2531328221207543,-0.2808220496649058,-0.3609079913713789,-0.27270958894397246,0.08819840242740645,
82718-59-0,-0.2902353273993207,-0.2895420038748372,-0.29563803390300447,-0.283885963070031,-0.30920972141252123,-0.4151423747582276,-0.2937022099319429,0.12144016482628467,
106694-60-4,-0.5455794928685216,-0.6396991072571799,-0.616368025740007,-0.6219218614692956,-0.6033568978309631,-0.7342234186231764,-0.6053850770331934,0.12883834158998297,
1005-67-0,-0.0299191080583714,-0.00920522572420127,0.005392135792093496,0.01178926087127381,0.017588900358338308,-0.1125936658030246,-0.0008708073521734118,0.11172285845085118,
6735-35-9,-0.2370832860469818,-0.23746923080258736,-0.21302542730962543,-0.19830697206102743,-0.18877590529079882,-0.1945919298970492,-0.2149321643022042,0.020340234405154978,
20473-84-1,-0.6231552864210765,-0.6298898929754677,-0.6127728437319722,-0.6281627205820446,-0.6231839433162671,-0.6207300205863194,-0.6234329374053657,0.0027029168190462194,
57567-83-6,-0.31099822253408427,-0.19916029523714418,-0.3131834630205155,-0.20692056165514772,-0.2787139273537308,-0.1994184277969509,-0.26179529396012446,0.06237686616317356,
20966-69-2,-0.2882344296389159,-0.2583073216702759,-0.2761305272579193,-0.28742286728699107,-0.31031340338808683,-0.6084392577545,-0.2840817098484378,0.32435754790606225,1.0
4344-62-1,-0.07195321141045516,-0.08460509404540062,-0.0815913144667667,-0.08952860231407939,-0.09616724401712418,-0.1153344556816981,-0.0847690932507652,0.0305653624309329,
98956-90-2,-0.4789212617824383,-0.47172647975654486,-0.4885639365129534,-0.4934178971197738,-0.4593595266342163,-0.5124689043504405,-0.4783978203611854,0.03407108398925507,
10353-86-3,-0.16469229757785797,-0.12279478665939325,-0.12617538785053978,-0.15205154260130357,-0.15039832890033722,-0.0747843959719411,-0.14322246871788635,0.06843807274594525,
21461-57-4,-0.6433082312615737,-0.6288597034106128,-0.612746140081631,-0.6198331415653229,-0.631597638130188,-0.6832362928598952,-0.6272689708898657,0.055967321970029515,
6852-28-4,-0.32259684801101685,-0.32104015350341797,-0.36736617925990145,-0.370778352022171,-0.326894611120224,-0.404314822847473,-0.3417352287833463,0.06257959406412672,
14002-34-7,-0.3025311800161653,-0.300343758657092,-0.30591026894184453,-0.31350551256443493,-0.288807013114463,-0.2994841174838772,-0.3022195466587999,0.002735429174922699,
6712-98-7,-0.1693338732813946,-0.18746116495805776,-0.17541913397178086,-0.1680527544606728,-0.15646695937495614,-0.0085657988544415,-0.17134677720937244,0.16278097835493094,
2109-66-2,0.07490323856472969,-0.04656324905945804,0.07316231727600098,0.005276774987578392,0.08133798092603683,0.1062337365828474,0.03762341253897757,0.06861032404386982,
6289-52-7,-0.3262611849204523,-0.37713023544807184,-0.4493275582790375,-0.375971610006794,-0.4064072935220583,-0.483319296262047,-0.3870195764352828,0.09629971982676422,
115188-50-6,-0.07931370810033345,-0.11049289568787218,-0.09913668550825974,-0.09352217140989305,-0.1388196308083236,0.0469905483904769,-0.1042570183029364,0.1512475666934133,
4711-14-2,-0.5826950486331601,-0.563103121932534,-0.5024610723594363,-0.5749714768887889,-0.5179009325598325,-0.4939147800980981,-0.5482263304747503,0.05431155037665225,
122-20-3,-0.23614656183900956,-0.24327078522864423,-0.25587257305154965,-0.23503318478416602,-0.23480701342423937,-0.3588396310653509,-0.24102602366552178,0.1178136073998291,
59941-12-7,-0.3201505243778229,-0.22983185946941376,-0.31592009320153114,-0.32389538039775406,-0.27499663829803467,-0.3829471508185438,-0.29295889914891127,0.08998825166963254,
64897-89-8,-0.3543908016547088,-0.33821977580963725,-0.34673985457743184,-0.34664882359156,-0.33463484048843384,-0.3668865284321932,-0.3441268192243544,0.02275970920783882,
40694-17-5,-0.6072135003717546,-0.6017680128606718,-0.5594305876789394,-0.5826132386562828,-0.5931112965314206,-0.3799625969837424,-0.5888273272198139,0.2088647302360715,
102-81-8,-0.468088835477829,-0.5135406010295046,-0.5349632121305526,-0.5486661791801453,-0.5264681646639513,-0.5499573847544986,-0.5183453984963966,0.03161198625810202,
2158-67-0,-0.4157706050453946,-0.4189325835938532,-0.4069847402602062,-0.40896616213587345,-0.38284039508315865,-0.4865856702897043,-0.40669889722369723,0.07988677306600706,
5842-08-0,-0.5248836341055116,-0.49347580229970556,-0.49940287624707336,-0.47446722662640917,-0.5193790715749257,-0.6909770136881372,-0.502321722170725,0.18865529151741223,
19031-93-7,-0.5087180484685989,-0.5190565222089947,-0.5046602949530166,-0.5155813758961683,-0.5218175376011123,-0.4120041691410336,-0.5139667558255783,0.10196258668454466,
91016-54-5,-0.6185036301612854,-0.6190968331031512,-0.6025637800298143,-0.5945379137992859,-0.623523120120176,-0.508850347540429,-0.6116450554427426,0.1027947079023136,
