cid,avg_pred,avg_pred,avg_pred,avg_pred,avg_pred,dG_MD_ylog,avg_pred_fin,abs_err,outlier
629165-64-6,-1.7679901756364638,-1.771252037146385,-1.7719646845231152,-1.7717177271842957,-1.7727969350445056,-1.7836648670050343,-1.7711443119069532,0.012520555098081143,
1920-46-3,-1.780853455047104,-1.7810819623536573,-1.781895182286289,-1.7814907129843458,-1.7796192275676246,-1.7695984191126444,-1.7809881080478043,0.011389688935159903,
10295-91-7,-1.7633499430089277,-1.76039748791549,-1.768582183241826,-1.7675250081726224,-1.7660491606036506,-1.7554345296232938,-1.7651807565885034,0.009746226965209548,
86375-49-7,-1.7473567078938497,-1.7535444832627824,-1.754866510120915,-1.74770967540005,-1.7479329342740018,-1.800447627476024,-1.7502820621903197,0.05016556528570426,1.0
46321-78-2,-1.7357382468643303,-1.7409042818873757,-1.7286740951995807,-1.731976409350831,-1.733907774655869,-1.7300372922440286,-1.7342401615915974,0.0042028693475688605,
55972-87-7,-1.7616751204234462,-1.7490793464228442,-1.7593425512313843,-1.7608550786972046,-1.7555589870381203,-1.7425618864002888,-1.7573022167626,0.01474033036231126,
14548-72-2,-1.773889499155688,-1.7740874174733423,-1.775278988458073,-1.7693723708230893,-1.7728724226872994,-1.7371231544830854,-1.7731001397194983,0.035976985236412906,
857384-40-8,-1.8182123897443077,-1.8209878318846955,-1.822106878166764,-1.8170900344848633,-1.8212347998561278,-1.8371823417836937,-1.8199263868273516,0.017255954956342023,
4223-94-3,-1.759660724501337,-1.7465309438230638,-1.7537632802636254,-1.7570863762445585,-1.7484423303699934,-1.7964406687842005,-1.7530967310405157,0.043343937743684835,
71002-70-5,-1.699548552976427,-1.707504559298771,-1.699931818429566,-1.7038343353287315,-1.70956376469768,-1.7022973250520828,-1.704076606146235,0.001779281094152152,
90854-88-9,-1.7892712260847434,-1.7916459613073523,-1.7891087939380523,-1.7926835863808677,-1.798471583589229,-1.826431005254098,-1.792236230260049,0.03419477499404899,
6039-36-7,-1.7807391204161935,-1.7799513159426223,-1.7746428625934008,-1.7754492592590334,-1.7885259979971484,-1.823743439658444,-1.7798617112416797,0.0438817284167643,
496-47-9,-1.7960585355758667,-1.8057178265686444,-1.8003638982772827,-1.7967947217350986,-1.8026838948989485,-1.807669596363611,-1.800323775411168,0.00734582095244285,
4134-00-3,-1.7514694196335903,-1.7508900055724461,-1.7515307664871216,-1.7495858891732343,-1.7474532969691545,-1.7611608209310186,-1.7501858755671094,0.010974945363909194,
34753-59-8,-1.787988810386398,-1.7813743369538244,-1.7895703452820961,-1.7893548346296746,-1.791050249530838,-1.775099504257509,-1.787867715356566,0.012768211099057014,
62237-08-5,-1.780029809733384,-1.7765767421565828,-1.7839788291505032,-1.775927409083497,-1.7748866052363723,-1.813111852537876,-1.778279879072068,0.03483197346580802,
857832-28-1,-1.698803961277008,-1.7197436690330505,-1.6957505941390991,-1.7127404415424676,-1.7096068263053894,-1.7250520860656338,-1.7073290984594032,0.01772298760623059,
102450-14-6,-1.8186763059406026,-1.8261140781923157,-1.8168739393079818,-1.8132219314575195,-1.8181459688666934,-1.834542191474059,-1.8186064447530224,0.015935746721036592,
2109-64-0,-1.8145416975021362,-1.8052688529143794,-1.8148568868637085,-1.816552470378948,-1.809655681423087,-1.8075494552001423,-1.8121751178164516,0.004625662616309256,
1194736-09-8,-1.7738168239593506,-1.773821511056565,-1.7809007124918175,-1.772678910173358,-1.7747162149155022,-1.7529603573888743,-1.7751868345193187,0.022226477130444344,
106694-61-5,-1.7991910361192862,-1.7889235206351473,-1.8024253233426837,-1.8054326039941664,-1.8033100287657193,-1.824354838474273,-1.7998565025714008,0.024498335902872093,
6006-58-2,-1.7566288008670736,-1.7427884578443382,-1.7572616661451372,-1.7523345068146718,-1.7432196140289307,-1.7230202593270878,-1.7504466091400304,0.027426349812942563,
14037-83-3,-1.7508118986521501,-1.7506905795061094,-1.7546617819555466,-1.7510383819425317,-1.7469190532777696,-1.714916700456696,-1.7508243390668217,0.03590763861012558,
122-96-3,-1.7317265582077974,-1.7259065411222894,-1.7279239267203717,-1.7291541785895164,-1.713024377822876,-1.7478640967297632,-1.7255471164925702,0.022316980237192974,
15433-27-9,-1.80636727809906,-1.7935425639152527,-1.8047476410865784,-1.8067453503608704,-1.8031776547431946,-1.8007443465157082,-1.8029160976409913,0.0021717511252830057,
3574-43-4,-1.7844666965008615,-1.7836879707342401,-1.7783473486504837,-1.787626068329606,-1.785143289298293,-1.801631738997626,-1.783854274702697,0.01777746429492888,
91014-23-2,-1.8130357265472412,-1.8039557846308734,-1.805232496842825,-1.8080809003763088,-1.7975837518845112,-1.7822904804230948,-1.8055777320563517,0.023287251633256956,
100-74-3,-1.6982352386842718,-1.6856379508972168,-1.6888070695702366,-1.7009682953296281,-1.6878327235798485,-1.702908300803374,-1.6922962556122403,0.01061204519113379,
91425-90-0,-1.8275639675991697,-1.824371761720919,-1.8225646755226286,-1.8289319189379687,-1.8236995935440063,-1.809386113311556,-1.8254263834649387,0.016040270153382608,
873376-29-5,-1.8040379285812378,-1.8020295871938297,-1.8060345507873117,-1.8051151872435356,-1.8060397008734397,-1.8275417050414315,-1.8046513909358708,0.02289031410556075,
13297-91-1,-1.6960254907608032,-1.6941341973950799,-1.6924907565116882,-1.6916244882055347,-1.6846464112769743,-1.6420781506239293,-1.6917842688300162,0.04970611820608695,1.0
4500-30-5,-1.7657556533813477,-1.7663087809418188,-1.7708173465808374,-1.7732161391899441,-1.7697005086292008,-1.7649904934647234,-1.76915968574463,0.004169192279906531,
140-82-9,-1.7735784192436492,-1.7663330218060396,-1.7700836722104394,-1.7653269559016591,-1.765086797842674,-1.7810111240802016,-1.7680817734008922,0.012929350679309337,
1087704-96-8,-1.8154415137714426,-1.804470181465149,-1.810813403312531,-1.805702615883804,-1.811140581993993,-1.814376506107056,-1.8095136592853838,0.004862846821672262,
30727-29-8,-1.8024046792435562,-1.7972338199615479,-1.8065709529727656,-1.8023355615819616,-1.7998461180046847,-1.82399058410512,-1.801678226352903,0.02231235775221707,
58883-81-1,-1.7324540325652868,-1.7285565906618743,-1.737864280698426,-1.7269082069396973,-1.745840726395105,-1.7235644420384617,-1.7343247674520779,0.010760325413616156,
14400-71-6,-1.730794906616211,-1.713135327416353,-1.715239753905517,-1.7287826538085938,-1.7141451009453117,-1.714126871266669,-1.7204195485383973,0.00629267727172822,
854464-00-9,-1.7218483722678137,-1.7306021477164664,-1.7245560532441693,-1.7217026006146194,-1.7236764391981514,-1.7325826681968952,-1.7244771226082443,0.008105545588650953,
872816-90-5,-1.7810540623855036,-1.781779077006109,-1.7902131712689928,-1.7768426826132884,-1.7857207327425768,-1.7482768859663,-1.7831219452032943,0.034845059236994214,
4402-30-6,-1.7337519982240597,-1.735972187292775,-1.7335387818945809,-1.736542514667109,-1.7341852907095985,-1.708925649371979,-1.7347981545576245,0.025872505185645434,
2842-41-3,-1.8106935515524136,-1.8122567574735702,-1.8116943452836,-1.8124657767376564,-1.8143906385322086,-1.7977836626680743,-1.8123002139158895,0.014516551247815146,
3492-47-5,-1.7820599701554212,-1.7605318461744397,-1.7814789421649158,-1.765972151017442,-1.7755460635414124,-1.7584033856810697,-1.7731177946107262,0.014714408929656475,
854665-75-1,-1.6682400703430176,-1.6620610019053081,-1.6615885496139526,-1.6660722494125366,-1.6589395999908447,-1.5841808557681285,-1.6633802942531317,0.07919943848500322,1.0
59941-28-5,-1.716008812742148,-1.7029781073508996,-1.7058851718902588,-1.7064424675744008,-1.711249626015373,-1.7230241681824312,-1.7085128371146159,0.014511331067815325,
1039627-29-6,-1.797867227332575,-1.7899540260389002,-1.7916234731674194,-1.7918086051940918,-1.7952959537506104,-1.793845318839907,-1.7933098570967192,0.0005354617431878594,
144205-48-1,-1.7723029541090187,-1.778332433436498,-1.779118537902832,-1.7805176070980882,-1.7814903484141467,-1.775290491765166,-1.7783523761921167,0.0030618844269507672,
4667-57-6,-1.729702780747262,-1.7169404056986348,-1.7284138665508593,-1.71824746184725,-1.7219766843326845,-1.6950838893676132,-1.7230562398353382,0.02797235046772495,
110513-60-5,-1.811618464697916,-1.8036562739277684,-1.811140835440732,-1.8098507326949107,-1.8145211639876027,-1.828147545132268,-1.8101574941497858,0.017990050982482186,
15520-05-5,-1.7197471975256575,-1.719073435959292,-1.718044638633728,-1.7127855618107848,-1.7112688046334843,-1.6623914234984674,-1.7161839277125892,0.05379250421412185,1.0
42434-24-2,-1.7508913841296274,-1.7511432536533849,-1.7503406555686973,-1.7597420380405628,-1.7575551385400443,-1.720108929604344,-1.7539344939864634,0.03382556438211948,
106694-59-1,-1.7602797738577936,-1.7607252030227274,-1.7604431687914368,-1.7636273836443532,-1.7607831161694198,-1.7439389115182575,-1.7611717290971463,0.017232817578888726,
2421-02-5,-1.747310443805737,-1.748142583791271,-1.7510627207650626,-1.7472696111844712,-1.7523381626705714,-1.7498508508890975,-1.7492247044434226,0.0006261464456749355,
4767-14-0,-1.720404657925202,-1.7138173281207572,-1.7117776307122372,-1.7137136045395729,-1.7114751283293148,-1.7275234759653126,-1.7142376699254167,0.013285806039895931,
4402-34-0,-1.7771665492887365,-1.7709252868812833,-1.7683100303399975,-1.7683804521675603,-1.7713860474507541,-1.7553230817534522,-1.7712336732256664,0.015910591472214186,
10315-98-7,-1.685526823454707,-1.6982868788473802,-1.6934908151013484,-1.7006603617853204,-1.6980772649769944,-1.6762786916153682,-1.6952084288331501,0.018929737217781906,
934-90-7,-1.8070269388658957,-1.808692470227603,-1.8072229269200926,-1.803544125453571,-1.8058838705478801,-1.8077061502801903,-1.8064740664030083,0.0012320838771819886,
94473-23-1,-1.7939481735229492,-1.792457219586811,-1.7963371107006478,-1.7984874248504639,-1.7949926853179932,-1.7655473638803805,-1.7952445227957732,0.029697158915392707,
854815-53-5,-1.7928216119264153,-1.7877198785107329,-1.7849937663928868,-1.7820730160907665,-1.7777163982391357,-1.771264902234573,-1.7850649342319875,0.01380003199741453,
104-58-5,-1.8254613451559525,-1.8124051527549825,-1.819996250435238,-1.8128743426337461,-1.8183715330758852,-1.802184550336504,-1.8178217248111608,0.015637174474656845,
622-40-2,-1.6607249975204468,-1.6767635941505432,-1.6667171716690063,-1.6619995279050883,-1.6630744095833514,-1.627309281647253,-1.6658559401656874,0.03854665851843442,
70787-41-6,-1.7470308564437746,-1.7416329029080044,-1.7498079280223755,-1.741791455609604,-1.7454745122635906,-1.7577930656626588,-1.74514753104947,0.012645534613188847,
82718-59-0,-1.7446848685022036,-1.7430876931419603,-1.7490439414978027,-1.7441494426874402,-1.7496087416250532,-1.7675232364101163,-1.746114937490892,0.021408298919224356,
106694-60-4,-1.8047593143102443,-1.8147258758544922,-1.8158221244812012,-1.8133267068705436,-1.8134992027610641,-1.827813474733509,-1.812426644855509,0.015386829877999997,
1005-67-0,-1.688530244098846,-1.6878704079048266,-1.6860976219177246,-1.6871087575921484,-1.6841914879992133,-1.706843707771991,-1.686759703902552,0.020084003869438982,
6735-35-9,-1.7322435244292964,-1.730736322734543,-1.7269510980997942,-1.722112334824481,-1.723091479169133,-1.7274702963781072,-1.7270269518514496,0.0004433445266576186,
20473-84-1,-1.8194661520829736,-1.8209582001356999,-1.81888075013124,-1.8232130378574996,-1.8188412825346907,-1.822739158874488,-1.8202718845484207,0.0024672743260671925,
57567-83-6,-1.7490054224427265,-1.7307090612011313,-1.750652551651001,-1.7340627088321503,-1.7465276256807916,-1.7327704456411228,-1.7421914739615603,0.009421028320437452,
20966-69-2,-1.7379943183948736,-1.737264492793615,-1.740727935471972,-1.7403014264622554,-1.7451198448777618,-1.7854872134656794,-1.7402816036000957,0.04520560986558375,
4344-62-1,-1.7004274321838206,-1.7006969766239395,-1.6986929178237915,-1.696816612529588,-1.7025302160687814,-1.7131203055237525,-1.6998328310459843,0.013287474477768235,
98956-90-2,-1.7768145738411367,-1.7712596159284355,-1.7732087552936382,-1.7771300516304214,-1.774185331204904,-1.7810063518518555,-1.774519665579707,0.006486686272148434,
10353-86-3,-1.7223256736451744,-1.710990309715271,-1.7099225521087646,-1.716459293229001,-1.7188543996050507,-1.709083075834251,-1.7157104456606525,0.006627369826401441,
21461-57-4,-1.8172057059964821,-1.8061398174528491,-1.813946008682251,-1.8157743491866118,-1.8156192954817727,-1.8191906684408303,-1.8137370353599933,0.005453633080837017,
6852-28-4,-1.7522539713659526,-1.7549944067914178,-1.7614274977959385,-1.7617063120473917,-1.7556010042716168,-1.764308296568633,-1.7571966384544635,0.007111658114169472,
14002-34-7,-1.756072411345046,-1.7593635820826101,-1.755739688873291,-1.7550642855123058,-1.7526831588105338,-1.75230152140174,-1.7557846253247575,0.0034831039230176497,
6712-98-7,-1.7180477664368126,-1.7196193138468652,-1.717533935209065,-1.7174343223847806,-1.717908263206482,-1.6961113584856002,-1.7181087202168013,0.021997361731201037,
2109-66-2,-1.6459907293319702,-1.6762455133852137,-1.6636403799057007,-1.6671618223190308,-1.6484763622283936,-1.643512243390609,-1.6603029614340616,0.016790718043452557,
6289-52-7,-1.7744418401754274,-1.7733625173568726,-1.7861824989876822,-1.7765149990410598,-1.7746437277859237,-1.786044607748404,-1.777029116669393,0.009015491079011007,
115188-50-6,-1.7038107083578509,-1.713158128083644,-1.706877944595871,-1.7082380118430276,-1.7071844946994188,-1.693510554917976,-1.7078538575159623,0.014343302597986218,
4711-14-2,-1.8070461126495352,-1.804390382082887,-1.7904112348586931,-1.8001195031665098,-1.7968212905968661,-1.792333645594434,-1.7997577046708984,0.007424059076464262,
122-20-3,-1.738618565263121,-1.7368944509061333,-1.73997288951825,-1.740744931422618,-1.7410026701785049,-1.758428922275634,-1.7394467014577255,0.018982220817908457,
59941-12-7,-1.7607455613238947,-1.7410997612744705,-1.7524060220795006,-1.7542272516428914,-1.7500285824735018,-1.760750719533497,-1.7517014357588518,0.0090492837746452,
64897-89-8,-1.760919923880731,-1.7572977462853403,-1.7591974530846644,-1.7594070434570312,-1.7596346408561838,-1.7603567387787298,-1.75929136151279,0.0010653772659396932,
40694-17-5,-1.7981897772060553,-1.800617186326063,-1.7953781197475251,-1.7994245290756226,-1.7989844803041481,-1.7695283088207068,-1.7985188185318826,0.028990509711175783,
102-81-8,-1.7885074557855754,-1.7962010588415946,-1.7994044338115731,-1.7994985682245754,-1.7970291845801065,-1.7997725590656162,-1.796128140248685,0.0036444188169311165,
2158-67-0,-1.767071920047691,-1.7661314451950267,-1.7670713838116354,-1.7673490367932105,-1.7634396618840822,-1.7768348555969322,-1.7662126895463293,0.010622166050602955,
5842-08-0,-1.8046581934591295,-1.801220917558233,-1.8034202452139234,-1.7973123836656841,-1.807982437958367,-1.847295869234802,-1.8029188355710672,0.0443770336637348,
19031-93-7,-1.7898377544616726,-1.7967351893857137,-1.7905016706226244,-1.7917156359314643,-1.7879684439293428,-1.7809601992689088,-1.7913517388661635,0.010391539597254695,
91016-54-5,-1.8112159131526944,-1.807610733966525,-1.8012301325798035,-1.8030129671096802,-1.806934158970265,-1.7952967732226333,-1.8060007811557934,0.010704007933160176,
