cid,std_smiles,CompRate_ylog,dG_MD_ylog,MolWeight,nbAtoms,nbHeavyAtoms,nbRing,nbRotBd,nbHBdAcc,ndHBdDon,TopoPolSurfAir,MolarRefract,CombDipolPolariz,LogP_pred,MP_pred,BP_pred,LogVP_pred,LogWS_pred,LogHL_pred,RT_pred,LogKOA_pred,ionization,pKa_b_pred,LogD55_pred,LogD74_pred,LogOH_pred,nbNring,pKa_b_pred_divN,pKa_b_pred_multN,frac_OS_N,pKa_b_pred_div_O_S,frac_N,frac_OS_atoms,frac_ring_N,frac_Nring_atoms,frac_ring_atoms,"(),(-),xC","(),(-),(-),(-),xN","(),(-),(-),xC","(),(-),xO",C,N,O,"(),(-),(-),(-),xC","(),(-),(-),(-),(-),xC","(),(-),(-),xO","(),(-),(-),xS",S,"(),(-),xS"
622-40-2,OCCN1CCOCC1,0.1907440962500579,-1.627309281647253,131.094628656,22.0,9.0,1.0,2.0,3.0,1.0,32.7,35.3549,0.965,0.119140521937714,-1.51986511967982,226.864218721288,-1.01769359667279,0.917035930157518,-8.53412355665166,0.812996435812826,5.87044422164476,1.0,7.28025156691259,-1.66825527994894,-0.12612954232339,-10.5663361886385,1,7.28025156691259,7.28025156691259,2.0,14.56050313382518,0.0454545454545454,0.0909090909090909,1.0,1.0,0.0454545454545454,0.0,1.0,6.0,1.0,6.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
70787-41-6,CC(C)(CO)N(CCO)CCO,-0.3609079913713789,-1.7577930656626588,177.136493468,31.0,12.0,0.0,6.0,4.0,3.0,63.93,47.9208,1.061,-0.836405348340168,35.5638503900226,297.797315835472,-4.4519808902348,0.577195480641291,-10.4783811609135,1.02664404466518,7.89086003728499,1.0,8.96294849695687,-4.29950338655909,-2.4110747778739,-10.5655648676056,0,8.96294849695687,8.96294849695687,3.0,26.888845490870608,0.032258064516129,0.0967741935483871,0.0,0.0,0.0,2.0,1.0,5.0,3.0,8.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0
82718-59-0,CN(C)CC(CO)(CO)CN(C)C,-0.4151423747582276,-1.7675232364101163,190.168127944,35.0,13.0,0.0,6.0,4.0,2.0,46.94,55.1813,1.188,-0.652881529754168,25.9049868639495,265.982388382958,-3.58490172454814,0.603078427553366,-6.66908464894134,2.85710646601919,7.84045524510696,1.0,9.17735167968785,-4.33032449182932,-2.43742491366088,-10.5869965617381,0,4.588675839843925,18.3547033593757,1.0,9.17735167968785,0.0571428571428571,0.0571428571428571,0.0,0.0,0.0,4.0,2.0,4.0,2.0,9.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0
106694-60-4,OCCCN1CCCCC1CCO,-0.7342234186231764,-1.827813474733509,187.157228912,34.0,13.0,1.0,5.0,3.0,2.0,43.7,44.8319,1.13,0.505322618618265,45.2121131692452,272.217492634941,-3.81739992583588,0.496443693836647,-6.59906831742636,7.05588341980758,7.95334000832182,1.0,10.5249070930415,-4.51958857528539,-2.61991009691617,-10.5669866837906,1,10.5249070930415,10.5249070930415,2.0,21.049814186083,0.0294117647058823,0.0588235294117647,1.0,1.0,0.0294117647058823,0.0,1.0,9.0,2.0,10.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
1005-67-0,CCCCN1CCOCC1,-0.1125936658030246,-1.706843707771991,143.131014164,27.0,10.0,1.0,3.0,2.0,0.0,12.47,39.8,0.71,1.1566951511581,-57.0364791959236,213.267256000441,0.317128056978364,-0.592607388598766,-4.63366889209186,7.48321138671609,4.31483310153676,1.0,8.19983970143178,-1.54401053761608,0.292941482140758,-10.5086004910105,1,8.19983970143178,8.19983970143178,1.0,8.19983970143178,0.037037037037037,0.037037037037037,1.0,1.0,0.037037037037037,1.0,1.0,7.0,0.0,8.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
6735-35-9,CCCN(CCO)CCO,-0.1945919298970492,-1.7274702963781072,147.125928784,27.0,10.0,0.0,6.0,3.0,2.0,43.7,40.3985,0.885,0.0031304063167351,-6.72487165284442,243.820905077185,-2.96726098642656,0.878296339757305,-8.52653891973202,2.03848543894789,7.44319764805269,1.0,8.65743364391579,-3.15460537159294,-1.27767085701507,-10.3920252621669,0,8.65743364391579,8.65743364391579,2.0,17.31486728783158,0.037037037037037,0.074074074074074,0.0,0.0,0.0,1.0,1.0,6.0,2.0,7.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20473-84-1,CCN(CC)CCCC(O)CO,-0.6207300205863194,-1.822739158874488,175.157228912,33.0,12.0,0.0,7.0,3.0,2.0,43.7,46.6537,0.965,0.882576983011817,17.2183495784621,250.277183302488,-3.82091111298712,0.0121333510619507,-9.02462221394278,6.23409736610131,7.84060197392939,1.0,10.8172828529998,-4.43470796169284,-2.5348719886392,-10.5704106721224,0,10.8172828529998,10.8172828529998,2.0,21.6345657059996,0.0303030303030303,0.0606060606060606,0.0,0.0,0.0,2.0,1.0,6.0,2.0,9.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
57567-83-6,CN(C)CCCN(CCO)CCO,-0.1994184277969509,-1.7327704456411228,190.168127944,35.0,13.0,0.0,8.0,4.0,2.0,46.94,53.5034,1.133,-0.768511076664089,36.9218382769177,265.094027144836,-5.44070800439115,0.623434578893682,-8.62888488563814,3.1973737724231,7.91935909106145,1.0,8.94711844329083,-4.21578461157046,-2.32777953173835,-10.5889356368342,0,4.473559221645415,17.89423688658166,1.0,8.94711844329083,0.0571428571428571,0.0571428571428571,0.0,0.0,0.0,2.0,2.0,7.0,2.0,9.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
20966-69-2,CN(C)CCN1CCN(CCO)CC1,-0.6084392577545,-1.7854872134656794,201.184112356,37.0,14.0,1.0,5.0,4.0,1.0,29.95,60.3496,1.276,-0.165043333185176,74.3047250374679,252.664373157707,-4.27359500986877,0.83000826545799,-8.82276280736274,2.65052625149627,8.51083592004623,1.0,8.63339648261329,-3.29875913729661,-1.42310016989345,-10.4432099319217,1,2.877798827537763,25.900189447839868,0.3333333333333333,2.877798827537763,0.081081081081081,0.027027027027027,0.3333333333333333,0.3333333333333333,0.027027027027027,2.0,3.0,8.0,1.0,10.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4344-62-1,OCCCCCN1CCOCC1,-0.1153344556816981,-1.7131203055237525,173.141578848,31.0,12.0,1.0,5.0,3.0,1.0,32.7,44.0897,1.032,0.570011856243716,39.1323014709976,252.46247560515,-2.45137678801276,0.471693898066945,-8.43200332293048,5.58979885244031,7.74397057281275,1.0,8.55310180482059,-2.483474089364,-0.612591721802218,-10.4269420339004,1,8.55310180482059,8.55310180482059,2.0,17.10620360964118,0.032258064516129,0.064516129032258,1.0,1.0,0.032258064516129,0.0,1.0,9.0,1.0,9.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
